"Package","Version","Built"
"robustbase","0.99-6","4.5.0"
"rootSolve","1.8.2.4","4.5.0"
"rosm","0.3.1","4.5.2"
"roxygen2","7.3.3","4.5.0"
"rpart","4.1.24","4.5.0"
"RPostgres","1.4.8","4.5.0"
"RPresto","1.4.8","4.5.2"
"rprojroot","2.1.1","4.5.0"
"rsample","1.3.0","4.5.0"
"rsconnect","1.4.1","4.5.0"
"rsparse","0.5.3","4.5.0"
"RSpectra","0.16-2","4.5.0"
"RSQLite","2.4.6","4.5.2"
"rstan","2.32.7","4.5.0"
"rstanarm","2.32.1","4.5.0"
"rstantools","2.4.0","4.5.0"
"rstudioapi","0.17.1","4.5.0"
"rtf","0.4-14.1","4.5.0"
"Rtsne","0.17","4.5.0"
"rversions","2.1.2","4.5.0"
"rvest","1.0.4","4.5.0"
"s2","1.1.9","4.5.0"
"S7","0.2.0","4.5.0"
"sandwich","3.1-1","4.5.0"
"sass","0.4.10","4.5.0"
"satellite","1.0.6","4.5.0"
"scagnostics","0.2-6","4.5.0"
"scales","1.4.0","4.5.0"
"scatterpie","0.2.6","4.5.0"
"scico","1.5.0","4.5.0"
"scrypt","0.1.6","4.5.0"
"see","0.11.0","4.5.0"
"selectr","0.4-2","4.5.0"
"servr","0.32","4.5.0"
"sessioninfo","1.2.3","4.5.0"
"sf","1.0-24","4.5.2"
"sfd","0.1.0","4.5.0"
"sfheaders","0.4.5","4.5.2"
"shape","1.4.6.1","4.5.0"
"shiny","1.10.0","4.5.0"
"shiny.fluent","0.4.0","4.5.0"
"shiny.react","0.4.0","4.5.0"
"shinybusy","0.3.3","4.5.0"
"shinyjs","2.1.0","4.5.0"
"shinymanager","1.0.410","4.5.0"
"shinystan","2.6.0","4.5.0"
"shinythemes","1.2.0","4.5.0"
"shinyuieditor","0.5.1","4.5.0"
"shinyWidgets","0.9.0","4.5.0"
"showtext","0.9-7","4.5.0"
"showtextdb","3.0","4.5.0"
"sitmo","2.0.2","4.5.0"
"skimr","2.2.1","4.5.0"
"skmeans","0.2-18","4.5.0"
"slam","0.1-55","4.5.0"
"slider","0.3.2","4.5.0"
"slippymath","0.3.1","4.5.0"
"sna","2.8","4.5.0"
"snakecase","0.11.1","4.5.0"
"SnowballC","0.7.1","4.5.0"
"som","0.3-5.2","4.5.0"
"sourcetools","0.1.7-1","4.5.0"
"sp","2.2-0","4.5.0"
"spacesXYZ","1.6-0","4.5.0"
"SparseM","1.84-2","4.5.0"
"sparsevctrs","0.3.3","4.5.0"
"spatial","7.3-18","4.5.0"
"spelling","2.3.1","4.5.0"
"splines","4.5.0","4.5.0"
"SQUAREM","2021.1","4.5.0"
